ID,LangID,PhonemeID
,Na'vi,a
,Na'vi,e
,Na'vi,i
,Na'vi,ì
,Na'vi,o
,Na'vi,u
,Na'vi,ù
,Na'vi,aw
,Na'vi,ew
,Na'vi,ay
,Na'vi,k
,Na'vi,p
,Na'vi,t
,Na'vi,ng
,Na'vi,tx
,Na'vi,ts
,Na'vi,k'
,Na'vi,p'
,Na'vi,t'
,Dothraki,a
,Dothraki,e
,Dothraki,i
,Dothraki,o
,Dothraki,u
,Dothraki,ay
,Dothraki,ey
,Dothraki,oy
,Dothraki,aw
,Dothraki,b
,Dothraki,d
,Dothraki,g
,Dothraki,k
,Dothraki,m
,Dothraki,n
,Dothraki,r
,Dothraki,s
,Dothraki,t
,Dothraki,z
,Quenya,i
,Quenya,iː
,Quenya,u
,Quenya,uː
,Quenya,eː
,Quenya,oː
,Quenya,ɛ
,Quenya,ɔ
,Quenya,a
,Quenya,aː
,Quenya,ju
,Quenya,ew
,Quenya,aj
,Quenya,aw
,Quenya,oj
,Quenya,uj
,Quenya,m
,Quenya,n
,Quenya,ŋ
,Quenya,p
,Quenya,b
,Quenya,t
,Quenya,d
,Quenya,k
,Quenya,ɡ
,Quenya,f
,Quenya,v
,Quenya,s
,Quenya,ç
,Quenya,x
,Quenya,h
,Quenya,r
,Quenya,ʍ
,Quenya,w
,Quenya,j
,Quenya,l
